id,age,birthdate,country,gender,height,image,medals,name,sport,weight,country_id,sport_id,gold,silver,bronze,medal_winner
aaron_blunck,17,1996-04-12 00:00:00,United States,Male,1.72,http://gtcdn.sochi2014.com/athlete/a/32/2027332-168X210.jpg,0,Aaron Blunck,Freestyle Skiing,68.0,united_states,freestyle_skiing,0,0,0,False
aaron_march,27,1986-05-14 00:00:00,Italy,Male,1.85,http://gtcdn.sochi2014.com/athlete/a/86/2014186-168X210.jpg,0,Aaron March,Snowboard,85.0,italy,snowboard,0,0,0,False
abzal_azhgaliyev,21,1992-06-30 00:00:00,Kazakhstan,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/32/2025232-168X210.jpg,0,Abzal Azhgaliyev,Short Track,68.0,kazakhstan,short_track,0,0,0,False
abzal_rakimgaliev,21,1992-05-25 00:00:00,Kazakhstan,Male,1.6800000000000002,http://gtcdn.sochi2014.com/athlete/a/49/2005049-168X210.jpg,0,Abzal Rakimgaliev,Figure Skating,,kazakhstan,figure_skating,0,0,0,False
adam_barwood,21,1992-07-30 00:00:00,New Zealand,Male,1.8599999999999999,http://gtcdn.sochi2014.com/athlete/a/66/2037266-168X210.jpg,0,Adam Barwood,Alpine Skiing,82.0,new_zealand,alpine_skiing,0,0,0,False
adam_cieslar,21,1992-12-18 00:00:00,Poland,Male,1.75,http://gtcdn.sochi2014.com/athlete/a/79/2001379-168X210.jpg,0,Adam Cieslar,Nordic Combined,57.0,poland,nordic_combined,0,0,0,False
adam_lamhamedi,18,1995-04-22 00:00:00,Morocco,Male,1.7000000000000002,http://gtcdn.sochi2014.com/content/4.4/i/athlete/athlete-m-168x210.png,0,Adam Lamhamedi,Alpine Skiing,76.0,morocco,alpine_skiing,0,0,0,False
adam_zampa,23,1990-09-13 00:00:00,Slovakia,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/30/2014130-168X210.jpg,0,Adam Zampa,Alpine Skiing,80.0,slovakia,alpine_skiing,0,0,0,False
adelina_sotnikova,17,1996-07-01 00:00:00,Russian Fed.,Female,1.63,http://gtcdn.sochi2014.com/athlete/a/86/2001886-168X210.jpg,1,Adelina Sotnikova,Figure Skating,,russian_fed,figure_skating,1,0,0,True
adeline_baud,21,1992-09-28 00:00:00,France,Female,1.62,http://gtcdn.sochi2014.com/athlete/a/63/2009363-168X210.jpg,0,Adeline Baud,Alpine Skiing,56.0,france,alpine_skiing,0,0,0,False
adria_diaz,23,1990-09-17 00:00:00,Spain,Male,1.72,http://gtcdn.sochi2014.com/athlete/a/60/2012060-168X210.jpg,0,Adria Diaz,Figure Skating,,spain,figure_skating,0,0,0,False
adrian_krainer,21,1992-11-22 00:00:00,Austria,Male,1.8599999999999999,http://gtcdn.sochi2014.com/athlete/a/60/2023760-168X210.jpg,0,Adrian Krainer,Snowboard,75.0,austria,snowboard,0,0,0,False
adrien_backscheider,21,1992-08-07 00:00:00,France,Male,1.78,http://gtcdn.sochi2014.com/athlete/a/54/2009354-168X210.jpg,0,Adrien Backscheider,Cross-Country,73.0,france,cross-country,0,0,0,False
adrien_theaux,29,1984-09-18 00:00:00,France,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/96/2012896-168X210.jpg,0,Adrien Theaux,Alpine Skiing,80.0,france,alpine_skiing,0,0,0,False
agne_sereikaite,19,1994-10-19 00:00:00,Lithuania,Female,1.73,http://gtcdn.sochi2014.com/athlete/a/43/2000443-168X210.jpg,0,Agne Sereikaite,Short Track,65.0,lithuania,short_track,0,0,0,False
agnes_knochenhauer,24,1989-05-05 00:00:00,Sweden,Female,1.72,http://gtcdn.sochi2014.com/athlete/a/04/2002604-168X210.jpg,0,Agnes Knochenhauer,Curling,,sweden,curling,0,0,0,False
agnes_simon,39,1974-09-23 00:00:00,Hungary,Female,1.71,http://gtcdn.sochi2014.com/athlete/a/13/2020313-168X210.jpg,0,Agnes Simon,Cross-Country,66.0,hungary,cross-country,0,0,0,False
agnese_aboltina,18,1996-02-07 00:00:00,Latvia,Female,1.6600000000000001,http://gtcdn.sochi2014.com/athlete/a/67/2035767-168X210.jpg,0,Agnese Aboltina,Alpine Skiing,60.0,latvia,alpine_skiing,0,0,0,False
agnieszka_szymanczak,29,1984-11-11 00:00:00,Poland,Female,1.73,http://gtcdn.sochi2014.com/athlete/a/92/2001092-168X210.jpg,0,Agnieszka Szymanczak,Cross-Country,59.0,poland,cross-country,0,0,0,False
ahti_toivanen,24,1990-01-05 00:00:00,Finland,Male,1.82,http://gtcdn.sochi2014.com/athlete/a/56/2030756-168X210.jpg,0,Ahti Toivanen,Biathlon,74.0,finland,biathlon,0,0,0,False
aidan_kelly,19,1994-09-06 00:00:00,United States,Male,1.88,http://gtcdn.sochi2014.com/athlete/a/38/2020738-168X210.jpg,0,Aidan Kelly,Luge,88.0,united_states,luge,0,0,0,False
aidar_bekzhanov,20,1993-05-20 00:00:00,Kazakhstan,Male,1.75,http://gtcdn.sochi2014.com/athlete/a/44/2025244-168X210.jpg,0,Aidar Bekzhanov,Short Track,73.0,kazakhstan,short_track,0,0,0,False
