country,bronze,gold,silver,sport,total
australia,1,0,0,alpine_skiing,1
australia,1,3,1,freestyle_skiing,5
australia,1,1,0,short_track,2
australia,0,1,0,snowboard,1
austria,39,31,35,alpine_skiing,105
austria,1,0,2,biathlon,3
austria,0,1,2,bobsleigh,3
austria,2,1,2,cross-country_skiing,5
austria,4,7,9,figure_skating,20
austria,0,0,1,freestyle_skiing,1
austria,7,5,6,luge,18
austria,7,3,2,nordic_combined,12
austria,0,0,1,skeleton,1
austria,10,6,7,ski_jumping,23
austria,3,0,1,snowboard,4
austria,3,1,2,speed_skating,6
belarus,2,0,2,biathlon,4
belarus,2,1,1,freestyle_skiing,4
belarus,0,0,1,speed_skating,1
belgium,1,0,1,bobsleigh,2
belgium,1,1,0,figure_skating,2
belgium,1,0,0,speed_skating,1
bulgaria,1,1,0,biathlon,2
bulgaria,1,0,0,cross-country_skiing,1
bulgaria,1,0,2,short_track,3
canada,5,4,1,alpine_skiing,10
canada,1,2,0,biathlon,3
canada,1,3,2,bobsleigh,6
canada,0,2,1,cross-country_skiing,3
canada,2,3,3,curling,8
canada,10,4,8,figure_skating,22
canada,2,4,3,freestyle_skiing,9
canada,2,11,5,ice_hockey,18
canada,8,7,10,short_track,25
canada,1,2,1,skeleton,4
canada,1,3,1,snowboard,5
canada,14,8,11,speed_skating,33
china,1,0,0,curling,1
china,4,1,2,figure_skating,7
china,2,1,3,freestyle_skiing,6
china,7,7,10,short_track,24
china,3,0,3,speed_skating,6
croatia,0,4,5,alpine_skiing,9
croatia,1,0,0,biathlon,1
czech_republic,1,0,0,alpine_skiing,1
czech_republic,3,1,5,cross-country_skiing,9
czech_republic,0,1,0,freestyle_skiing,1
czech_republic,1,1,0,ice_hockey,2
czech_republic,1,2,0,speed_skating,3
denmark,0,0,1,curling,1
estonia,1,4,2,cross-country_skiing,7
finland,0,0,1,alpine_skiing,1
finland,2,0,5,biathlon,7
finland,32,19,22,cross-country_skiing,73
finland,0,0,1,curling,1
