id,abbr,description,first_appearance,flag,name,num_appearances,gold_2014,silver_2014,bronze_2014,gold_total,silver_total,bronze_total,medal_total,medals_2014
albania,ALB,"Albania made its Olympic Winter Games debut in Turin in 2006. Alpine skier Erjon Tola was the sole representative, competing in super G, giant slalom and slalom. Tola returned four years later in Vancouver, again as Albania's only athlete.",2006,http://gtcdn.sochi2014.com/flag/large/alb.png,Albania,3,0,0,0,,,,,0
andorra,AND,"Members of Andorran ski clubs took part in the Olympic Winter Games of 1952, 1956, 1960 and 1964. They competed for different countries as Andorra was not recognised as an Olympic nation until Innsbruck, in 1976.",1976,http://gtcdn.sochi2014.com/flag/large/and.png,Andorra,11,0,0,0,,,,,0
argentina,ARG,"Argentinian athletes have mostly competed in alpine skiing and bobsleigh events, and at the nation's first Olympic Winter Games in 1928, its two four-man bobsleigh teams finished fourth and fifth.",1928,http://gtcdn.sochi2014.com/flag/large/arg.png,Argentina,18,0,0,0,,,,,0
armenia,ARM,Kenneth Topalian and Joseph Almasian had the honour of becoming the first athletes to represent Armenia at the Olympic Games - summer or winter - when they took part in the two-man bobsleigh event in Lillehammer in 1994.,1994,http://gtcdn.sochi2014.com/flag/large/arm.png,Armenia,6,0,0,0,,,,,0
australia,AUS,Australia first competed in the Olympic Winter Games in Garmisch-Partenkirchen in 1936 and has sent a team to every edition since 1952.,1936,http://gtcdn.sochi2014.com/flag/large/aus.png,Australia,18,0,2,1,5.0,1.0,3.0,9.0,3
austria,AUT,"Austrian athletes have an outstanding record in winter Olympic competition, particularly in alpine skiing where they have won more medals than any other nation.",1924,http://gtcdn.sochi2014.com/flag/large/aut.png,Austria,22,2,6,1,55.0,70.0,76.0,201.0,9
azerbaijan,AZE,"Azerbaijan's winter Olympic history began when the country sent a small team, including figure skaters and alpine skiers, to the 1998 Nagano Games.",1998,http://gtcdn.sochi2014.com/flag/large/aze.png,Azerbaijan,5,0,0,0,,,,,0
belarus,BLR,"Aerials skier Alexei Grishin reached his fourth consecutive Olympic final in Vancouver in 2010. After finishing fourth in 2006 and third in 2002, he claimed Belarus' first gold medal at the Olympic Winter Games with victory in Vancouver.",1994,http://gtcdn.sochi2014.com/flag/large/blr.png,Belarus,6,5,0,1,1.0,4.0,4.0,9.0,6
belgium,BEL,"Belgium started competing at the Olympic Winter Games in Chamonix in 1924, and has sent a team to every edition of the Games except for 1960 and 1968. Belgium's first winter Olympic medal was a bronze in the four-man bobsleigh in 1924. Belgium's only winter Olympic gold medal was won by Pierre Baugniet and Micheline Lannoy in the pairs figure skating at the 1948 St Moritz Games. At the same Games, the four-man bobsleigh team secured silver.",1924,http://gtcdn.sochi2014.com/flag/large/bel.png,Belgium,20,0,0,0,1.0,1.0,3.0,5.0,0
bermuda,BMU,Luge athlete Simon Payne became the first athlete from Bermuda to compete at the Olympic Winter Games when he took part in Albertville in 1992.,1992,http://gtcdn.sochi2014.com/flag/large/ber.png,Bermuda,7,0,0,0,,,,,0
bosnia_and_herzegovina,BIH,Bosnia and Herzegovina first competed as an independent nation at the 1994 Olympic Winter Games in Lillehammer.,1994,http://gtcdn.sochi2014.com/flag/large/bih.png,Bosnia And Herzegovina,6,0,0,0,,,,,0
brazil,BRA,"Alpine skier Evelyn Schuler was Brazil's first representative at an Olympic Winter Games when she competed in the giant slalom at the 1992 Albertville Games. Since then, Brazil has sent competitors to every winter Games.",1992,http://gtcdn.sochi2014.com/flag/large/bra.png,Brazil,7,0,0,0,,,,,0
bulgaria,BGR,Biathlete Yekaterina Dafovska claimed Bulgaria's first and only gold medal at the Olympic Winter Games with victory in the women's 15km individual in Nagano in 1998.,1936,http://gtcdn.sochi2014.com/flag/large/bul.png,Bulgaria,19,0,0,0,1.0,2.0,3.0,6.0,0
canada,CAN,"Canada has hosted the Olympic Winter Games on two occasions, with vastly different fortunes each time. In Calgary in 1988, Canada failed to win a gold medal, a repeat of their performance as hosts of the summer Games in Montreal in 1976. In Vancouver four years ago, Canada's fortunes finally changed, finishing on top of the medal table with 14 gold medals.",1924,http://gtcdn.sochi2014.com/flag/large/can.png,Canada,22,5,8,4,53.0,46.0,47.0,146.0,17
cayman_islands,CYM,Cayman Islands made its Olympic Winter Games debut in Vancouver in 2010. Alpine skier Dow Travers competed in the men's giant slalom event.,2010,http://gtcdn.sochi2014.com/flag/large/cay.png,Cayman Islands,2,0,0,0,,,,,0
chile,CHL,"Chile is home to some of the highest accessible skiing areas in the world and unsurprisingly fields athletes primarily in ski events, especially alpine skiing.",1948,http://gtcdn.sochi2014.com/flag/large/chi.png,Chile,16,0,0,0,,,,,0
china,CHN,"The majority of China's success at the Olympic Winter Games has been in short track speed skating, with seven of its nine gold medals coming from the sport.",1980,http://gtcdn.sochi2014.com/flag/large/chn.png,China,10,3,2,1,9.0,18.0,17.0,44.0,6
chinese_taipei,TWN,Chinese Taipei made its debut at the Olympic Winter Games in 1976 and has appeared at every edition of the Games since 1984.,1972,http://gtcdn.sochi2014.com/flag/large/tpe.png,Chinese Taipei,11,0,0,0,,,,,0
