country,sport,bronze,gold,silver,total
australia,alpine_skiing,1,0,0,1
australia,freestyle_skiing,1,3,1,5
australia,short_track,1,1,0,2
australia,snowboard,0,1,0,1
austria,alpine_skiing,39,31,35,105
austria,biathlon,1,0,2,3
austria,bobsleigh,0,1,2,3
austria,cross-country_skiing,2,1,2,5
austria,figure_skating,4,7,9,20
austria,freestyle_skiing,0,0,1,1
austria,luge,7,5,6,18
austria,nordic_combined,7,3,2,12
austria,skeleton,0,0,1,1
austria,ski_jumping,10,6,7,23
austria,snowboard,3,0,1,4
austria,speed_skating,3,1,2,6
belarus,biathlon,2,0,2,4
belarus,freestyle_skiing,2,1,1,4
belarus,speed_skating,0,0,1,1
belgium,bobsleigh,1,0,1,2
belgium,figure_skating,1,1,0,2
belgium,speed_skating,1,0,0,1
bulgaria,biathlon,1,1,0,2
bulgaria,cross-country_skiing,1,0,0,1
bulgaria,short_track,1,0,2,3
canada,alpine_skiing,5,4,1,10
canada,biathlon,1,2,0,3
canada,bobsleigh,1,3,2,6
canada,cross-country_skiing,0,2,1,3
canada,curling,2,3,3,8
canada,figure_skating,10,4,8,22
canada,freestyle_skiing,2,4,3,9
canada,ice_hockey,2,11,5,18
canada,short_track,8,7,10,25
canada,skeleton,1,2,1,4
canada,snowboard,1,3,1,5
canada,speed_skating,14,8,11,33
china,curling,1,0,0,1
china,figure_skating,4,1,2,7
china,freestyle_skiing,2,1,3,6
china,short_track,7,7,10,24
china,speed_skating,3,0,3,6
croatia,alpine_skiing,0,4,5,9
croatia,biathlon,1,0,0,1
czech_republic,alpine_skiing,1,0,0,1
czech_republic,cross-country_skiing,3,1,5,9
czech_republic,freestyle_skiing,0,1,0,1
czech_republic,ice_hockey,1,1,0,2
czech_republic,speed_skating,1,2,0,3
denmark,curling,0,0,1,1
estonia,cross-country_skiing,1,4,2,7
finland,alpine_skiing,0,0,1,1
finland,biathlon,2,0,5,7
finland,cross-country_skiing,32,19,22,73
finland,curling,0,0,1,1
finland,figure_skating,0,1,1,2
finland,freestyle_skiing,1,1,2,4
finland,ice_hockey,5,0,2,7
finland,nordic_combined,2,4,8,14
finland,ski_jumping,4,10,8,22
finland,snowboard,1,0,1,2
finland,speed_skating,9,7,8,24
france,alpine_skiing,14,15,14,43
france,biathlon,9,4,4,17
france,bobsleigh,1,0,0,1
france,cross-country_skiing,0,0,1,1
france,curling,1,0,0,1
france,figure_skating,7,3,2,12
france,freestyle_skiing,4,1,2,7
france,nordic_combined,1,2,1,4
france,snowboard,3,2,3,8
germany,alpine_skiing,6,11,6,23
germany,biathlon,9,16,18,43
germany,bobsleigh,6,10,5,21
germany,cross-country_skiing,3,2,9,14
germany,figure_skating,2,3,2,7
germany,freestyle_skiing,0,0,1,1
germany,ice_hockey,1,0,0,1
germany,luge,7,11,8,26
germany,nordic_combined,2,1,3,6
germany,skeleton,1,0,1,2
germany,ski_jumping,1,3,3,7
germany,snowboard,0,1,2,3
germany,speed_skating,10,13,15,38
great_britain,bobsleigh,2,1,1,4
great_britain,curling,0,2,0,2
great_britain,figure_skating,7,5,3,15
great_britain,ice_hockey,1,1,0,2
great_britain,short_track,1,0,0,1
great_britain,skeleton,3,1,1,5
hungary,figure_skating,4,0,2,6
italy,alpine_skiing,7,13,8,28
italy,biathlon,2,0,1,3
italy,bobsleigh,4,4,4,12
italy,cross-country_skiing,13,9,12,34
italy,figure_skating,1,0,0,1
italy,luge,5,7,4,16
italy,nordic_combined,1,0,0,1
italy,short_track,2,1,2,5
italy,skeleton,0,1,0,1
